,match_date,home_team,away_team,home_team_avg_home_goals,home_team_avg_total_goals,away_team_avg_away_goals,away_team_avg_total_goals,home_team_form_score,away_team_form_score,odds_home_team,odds_away_team,odds_draw
89,2024-10-05,Valladolid,Rayo Vallecano,0.5,0.5,0.8,1.1,-3.0,-0.5,3.35,2.58,3.15
90,2024-10-05,Real Madrid,Villarreal,3.0,2.1,1.8,2.1,3.0,2.0,1.33,10.0,6.8
91,2024-10-05,Las Palmas,Celta Vigo,1.5,1.1,2.0,1.9,-3.0,-2.5,4.1,2.06,3.7
92,2024-10-05,Getafe,Osasuna,0.8,0.6,0.3,1.5,-1.0,1.5,2.2,4.4,3.15
93,2024-10-05,Espanyol,Mallorca,1.5,0.9,1.3,1.0,-2.0,3.0,3.65,2.5,3.05
94,2024-10-04,Leganes,Valencia,0.7,0.6,0.3,0.6,-2.0,-1.0,3.1,2.98,2.92
95,2024-09-30,Villarreal,Las Palmas,2.3,2.0,0.7,1.1,2.0,-3.0,1.49,7.4,5.3
96,2024-09-29,Celta Vigo,Girona,2.0,2.0,0.8,1.1,-1.5,-1.5,2.74,2.84,3.55
97,2024-09-29,Betis,Espanyol,1.5,1.0,0.3,1.0,0.0,-1.0,1.58,7.6,4.4
98,2024-09-29,Atletico Madrid,Real Madrid,2.0,1.6,1.3,2.3,3.0,4.0,2.94,2.74,3.4
99,2024-09-29,Athletic Bilbao,Sevilla,1.3,1.6,1.0,1.0,2.5,0.0,1.77,5.7,3.85
100,2024-09-28,Real Sociedad,Valencia,0.7,0.4,0.3,0.7,-2.0,-1.0,1.92,5.5,3.4
101,2024-09-28,Rayo Vallecano,Leganes,1.7,1.1,0.5,0.6,0.0,-2.0,1.9,6.0,3.3
102,2024-09-28,Osasuna,Barcelona,1.8,1.1,3.3,3.3,0.5,4.5,5.2,1.75,4.2
103,2024-09-28,Getafe,Alaves,0.3,0.4,1.8,1.6,-2.5,0.0,2.68,3.55,2.88
104,2024-09-27,Valladolid,Mallorca,0.3,0.4,1.0,0.9,-3.0,1.0,3.35,2.7,2.96
105,2024-09-26,Las Palmas,Betis,1.7,1.2,0.0,1.0,-3.5,0.5,3.85,2.22,3.45
106,2024-09-26,Espanyol,Villarreal,1.7,1.0,1.7,2.0,0.0,1.0,3.35,2.32,3.7
107,2024-09-26,Celta Vigo,Atletico Madrid,2.7,2.3,1.3,1.7,-0.5,2.5,4.5,1.94,3.75
108,2024-09-25,Girona,Rayo Vallecano,2.5,1.3,1.0,1.3,-1.0,0.0,1.74,5.7,4.0
109,2024-09-25,Barcelona,Getafe,4.5,3.7,0.7,0.5,4.5,-2.0,1.24,17.0,7.6
110,2024-09-24,Valencia,Osasuna,1.3,0.8,0.5,1.3,-1.5,1.0,2.1,4.6,3.3
111,2024-09-24,Sevilla,Valladolid,0.7,0.8,0.3,0.3,-1.5,-2.0,1.66,6.6,4.1
112,2024-09-24,Real Madrid,Alaves,3.0,2.2,1.7,1.5,3.5,1.0,1.19,22.0,8.8
113,2024-09-23,Betis,Mallorca,1.7,1.0,0.5,0.7,1.5,0.5,1.95,5.5,3.35
114,2024-09-22,Villarreal,Barcelona,3.0,2.2,2.7,3.4,2.0,3.5,3.95,1.98,4.2
115,2024-09-22,Rayo Vallecano,Atletico Madrid,2.0,1.4,1.5,1.8,0.0,2.5,5.8,1.8,3.75
116,2024-09-22,Getafe,Leganes,0.0,0.4,0.3,0.5,-2.0,-2.5,2.08,5.4,3.0
117,2024-09-22,Athletic Bilbao,Celta Vigo,0.7,1.3,2.5,2.6,1.0,0.5,1.83,5.5,3.7
118,2024-09-21,Valladolid,Real Sociedad,0.5,0.4,0.3,0.5,-2.0,-2.5,4.1,2.28,3.15
119,2024-09-21,Valencia,Girona,1.0,0.6,1.0,1.6,-2.5,0.0,2.62,3.3,3.2
120,2024-09-21,Real Madrid,Espanyol,2.5,1.8,0.0,1.0,2.5,1.0,1.16,23.0,10.5
121,2024-09-21,Osasuna,Las Palmas,1.7,1.2,0.5,1.2,0.0,-2.5,1.92,4.7,3.7
122,2024-09-20,Alaves,Sevilla,1.0,1.4,1.0,0.8,0.0,-0.5,2.24,3.9,3.35
123,2024-09-19,Leganes,Athletic Bilbao,1.0,0.6,2.0,1.2,-1.5,0.0,4.5,2.2,3.15
124,2024-09-18,Betis,Getafe,1.5,0.8,0.5,0.3,0.5,-1.0,1.98,5.6,3.15
125,2024-09-17,Mallorca,Real Sociedad,0.7,0.6,0.5,0.6,-0.5,-1.5,3.3,2.94,2.84
126,2024-09-16,Rayo Vallecano,Osasuna,1.0,1.0,0.0,1.3,-1.0,1.0,2.18,4.4,3.3
127,2024-09-15,Las Palmas,Athletic Bilbao,1.5,1.0,1.0,0.8,-1.5,-1.0,4.0,2.14,3.5
128,2024-09-15,Girona,Barcelona,4.0,1.8,2.0,3.3,1.0,2.5,4.5,1.85,4.3
129,2024-09-15,Celta Vigo,Valladolid,2.5,2.5,0.0,0.3,-0.5,-1.0,1.77,5.5,3.95
130,2024-09-15,Atletico Madrid,Valencia,1.5,1.5,0.5,0.8,1.5,-1.5,1.35,13.0,5.5
131,2024-09-14,Sevilla,Getafe,0.5,0.8,1.0,0.3,-1.5,0.0,2.34,3.9,3.15
132,2024-09-14,Real Sociedad,Real Madrid,1.0,0.8,1.0,1.8,-0.5,1.5,5.0,1.86,3.9
133,2024-09-14,Mallorca,Villarreal,0.5,0.5,1.5,2.3,0.5,1.0,2.42,3.5,3.35
134,2024-09-14,Espanyol,Alaves,1.0,0.5,1.5,1.3,0.0,1.0,3.05,2.82,3.15
135,2024-09-13,Betis,Leganes,1.0,0.3,0.5,0.8,-0.5,-0.5,1.72,6.6,3.7
136,2024-09-01,Sevilla,Girona,1.0,1.0,0.5,1.7,-0.5,0.0,2.82,2.6,3.75
137,2024-09-01,Real Madrid,Betis,3.0,1.7,0.0,0.5,0.5,0.0,1.26,15.0,7.2
138,2024-09-01,Osasuna,Celta Vigo,1.0,0.7,3.0,2.7,0.0,0.5,2.66,3.05,3.4
139,2024-09-01,Getafe,Real Sociedad,0.0,0.5,1.0,1.0,0.0,-0.5,3.35,2.84,2.84
140,2024-09-01,Alaves,Las Palmas,0.0,1.0,1.0,1.3,0.0,-0.5,1.85,5.4,3.6
141,2024-05-25,Sevilla,Barcelona,1.4,1.3,1.9,2.1,-2.0,2.5,4.1,1.92,4.4
142,2024-05-25,Real Sociedad,Atletico Madrid,1.4,1.4,1.4,1.8,1.0,1.5,1000.0,1.01,1000.0
143,2024-05-25,Real Madrid,Betis,2.7,2.4,1.2,1.3,3.5,1.0,1.26,13.5,7.8
144,2024-05-25,Rayo Vallecano,Athletic Bilbao,1.0,0.8,1.0,1.6,-0.5,0.0,3.45,2.46,3.35
